date,bench,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num,unit,frame,B1_Liv1,B2_Liv2,B1_Bry,B2_Syn,B1,B2,L2,L1,GA,Nostoc,DC,LC,Moss_unk,Mold,Peltula,Funaria,Moss,Volvox,Liv_unk
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,9,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,9,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,0,B,1,1,11,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,0,B,1,1,11,2,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,0,B,1,1,11,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,0,B,1,1,11,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,0,B,1,1,11,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,0,0,O,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,0,0,O,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,0,0,O,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,0,0,O,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,0,0,O,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,0,B,1,1,13,1,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,0,B,1,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,0,B,1,1,13,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,0,B,1,1,13,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,0,B,1,1,13,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,L1,0,L,1,1,14,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,L1,0,L,1,1,14,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,L1,0,L,1,1,14,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,L1,0,L,1,1,14,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,L1,0,L,1,1,14,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,15,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,15,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,15,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,15,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,15,5,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,16,1,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,16,2,0,0,8,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,16,3,0,0,10,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,16,4,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,16,5,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,L2,BL,2,2,17,1,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,L2,BL,2,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,L2,BL,2,2,17,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,L2,BL,2,2,17,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,L2,BL,2,2,17,5,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,18,1,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,18,2,0,0,5,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,18,3,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,18,4,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,18,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,L1,0,BL,2,2,19,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,L1,0,BL,2,2,19,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,L1,0,BL,2,2,19,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,L1,0,BL,2,2,19,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,L1,0,BL,2,2,19,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
