"Axis","Df","Variance","F_value","P_value"
"Axis 1",1,0.0365011171307885,124.037703277483,0.001
"Axis 2",1,0.00194594412042844,6.61268636078736,0.301
"Axis 3",1,0.000865142786030886,2.93991890171051,0.792
"Axis 4",1,8.58235393481378e-05,0.291644627471099,1
"Axis 5",1,7.7517349111251e-06,0.0263418621229217,1
"Residual",118,0.0347243757956208,NA,NA
