bench,unit,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num_initial,1,2,3,4,5,6,7,8,9,10,11,12,13,hydrop,abs,veg,slakevalue,torvane,ugPO4,TotN,TotC,C_N,ugNH4,ugNO3
1,34,1,O,0,B2,L1,L2,BLL,3,2,43,42,41,40,39,38,37,36,35,3,434,33,32,0,0,LC,6,1.2,NA,NA,NA,NA,NA,NA
1,35,1,C,B1,0,0,L2,BL,2,2,55,52,50,47,45,43,42,40,39,36,36,34,33,0,1,LC,5,1,NA,NA,NA,NA,NA,NA
1,36,3,C,0,0,0,L2,L,1,1,33,31,29,28,26,25,23,21,19,18,16,14,13,0,1,DC,6,1,0.135294976,0.053,1.598,30.1539,1.049404452,0.052923087
1,37,1,C,0,0,L1,0,L,1,1,90,84,82,80,77,76,75,73,72,71,70,69,69,0,0,L,6,1.5,1.156770844,0.0516,1.5902,30.8196,0.784749924,-0.022133961
1,38,3,O,B1,B2,0,L2,BBL,3,2,60,60,59,58,58,57,56,55,55,54,53,53,52,1,7,DC,6,0.95,NA,NA,NA,NA,NA,NA
1,39,1,O,0,0,0,0,O,0,0,46,45,45,44,44,43,43,42,41,41,41,40,40,0,2,0,6,0.5,NA,NA,NA,NA,NA,NA
1,40,3,C,B1,B2,L1,0,BBL,3,2,39,39,38,37,37,36,35,34,34,33,33,32,31,1,7,M_DC,6,1.4,NA,NA,NA,NA,NA,NA
1,41,3,O,B1,B2,L1,0,BBL,3,2,47,46,45,44,43,42,42,41,40,40,39,38,37,0,4,DC,6,0.6,NA,NA,NA,NA,NA,NA
1,42,3,C,0,B2,0,L2,BL,2,2,87,85,84,82,81,80,79,78,77,75,74,73,72,0,4,M,6,1.2,NA,NA,NA,NA,NA,NA
1,43,3,C,0,0,L1,0,L,1,1,49,48,47,46,45,44,42,41,40,40,39,38,37,1,7,L,6,2.5,NA,NA,NA,NA,NA,NA
1,44,1,O,B1,B2,L1,L2,BBLL,4,2,55,53,50,49,48,47,45,44,43,42,41,40,39,0,1,0,1,1,3.341320506,0.0272,0.2692,9.8887,1.53828255,0.106282702
1,45,3,O,0,B2,L1,0,BL,2,2,51,51,50,49,49,49,49,48,48,48,47,47,47,1,5,L,6,0.75,NA,NA,NA,NA,NA,NA
1,46,3,C,B1,0,L1,0,BL,2,2,90,90,89,89,89,88,88,87,87,86,86,85,84,0,2,M,6,2,NA,NA,NA,NA,NA,NA
1,47,3,O,0,0,L1,L2,LL,2,1,65,65,65,65,64,64,64,64,64,63,63,63,63,0,2,DC,6,1.1,2.609736541,0.0478,0.4487,9.3776,1.540466471,-0.035164793
1,48,1,C,0,0,0,L2,L,1,1,60,56,53,50,47,45,43,41,39,38,36,35,33,0,1,DC,3,1.6,NA,NA,NA,NA,NA,NA
1,49,3,C,0,0,0,0,O,0,0,55,53,50,48,45,43,40,38,36,35,34,33,32,0,2,DC_M,6,1.25,0.786957403,0.0499,1.6341,32.778,0.261922503,0.001007419
1,50,1,C,0,B2,L1,0,BL,2,2,79,77,75,73,72,70,68,66,65,64,63,62,61,0,2,M,6,1,NA,NA,NA,NA,NA,NA
1,51,1,C,B1,0,0,0,B,1,1,86,84,80,78,76,74,73,71,70,68,67,66,65,0,3,M,6,1,NA,NA,NA,NA,NA,NA
1,52,1,O,B1,B2,0,0,BB,2,1,52,51,50,50,49,48,47,46,45,45,44,43,43,0,0,DC,5,0.8,NA,NA,NA,NA,NA,NA
1,53,1,O,0,B2,L1,0,BL,2,2,88,84,82,80,78,77,76,75,73,72,71,70,69,0,0,0,5,1,4.150679715,0.027,0.2709,10.0501,2.764033409,0.115367795
1,54,3,O,B1,0,L1,0,BL,2,2,72,71,70,70,69,68,68,67,66,66,65,64,64,0,1,DC,5,0.9,1.416603333,0.0177,0.4244,23.9522,1.123838289,0.136548552
1,55,3,C,0,B2,0,0,B,1,1,55,54,53,52,52,51,51,50,49,49,48,48,47,0,2,M,6,2.5,NA,NA,NA,NA,NA,NA
1,56,3,C,0,0,L1,L2,LL,2,1,81,78,76,74,72,71,70,68,67,66,65,64,62,0,2,M_DC,6,0.5,NA,NA,NA,NA,NA,NA
1,57,1,C,0,0,0,L2,L,1,1,81,77,75,72,70,69,67,66,65,63,62,61,60,1,28,LC,5,0.5,1.052467163,0.0505,1.564,30.9975,4.324610846,0.129577805
1,58,3,O,B1,0,0,0,B,1,1,75,75,75,75,75,75,75,75,74,74,74,74,74,0,2,0,6,1,NA,NA,NA,NA,NA,NA
1,59,1,O,B1,0,L1,0,BL,2,2,40,39,38,37,37,363,53,43,43,33,33,32,31,0,0,LC,5,0.75,3.55639798,0.0325,0.3517,10.8294,1.349455439,0.144507583
1,60,3,C,B1,0,L1,L2,BLL,3,2,81,80,78,77,75,74,73,72,70,69,68,67,66,0,1,DC,5,2.3,1.595477365,0.0517,1.6104,31.166,3.527970957,1.064853009
1,61,1,C,0,B2,0,0,B,1,1,82,81,79,78,77,75,74,73,71,70,69,68,67,0,1,DC,6,1,NA,NA,NA,NA,NA,NA
1,62,3,O,0,B2,L1,L2,BLL,3,2,82,79,79,79,78,78,77,77,77,77,76,76,75,1,9,DC_LC,6,1.5,1.073129205,0.0302,0.3014,9.9659,1.444832453,0.125285595
1,63,1,C,0,B2,0,0,B,1,1,50,49,48,47,46,45,43,42,40,38,37,36,35,0,1,DC,6,1,1.498801291,0.0545,1.6923,31.0571,7.925560655,0.098488981
1,64,3,C,B1,B2,L1,L2,BBLL,4,2,68,66,65,64,63,61,60,59,58,57,55,54,52,0,2,DC_M,6,1.5,1.260567074,0.0579,1.6501,28.4772,2.148263347,0.13104764
1,65,3,C,0,B2,L1,L2,BLL,3,2,71,70,69,68,67,66,65,64,63,62,61,60,59,0,4,DC,6,2.6,1.265807327,0.0512,1.5768,30.8198,2.660191313,0.153236323
1,66,3,C,B1,0,0,L2,BL,2,2,73,72,72,72,72,72,72,72,72,72,71,71,71,0,4,LC,6,0.75,0.55670979,0.0531,1.6853,31.7637,2.099421432,0.130952554
1,67,1,O,0,B2,L1,0,BL,2,2,70,68,66,63,62,61,60,56,53,52,49,48,46,0,1,DC,6,0.65,NA,NA,NA,NA,NA,NA
1,68,1,O,0,0,L1,L2,LL,2,1,85,84,83,82,81,80,78,77,77,76,75,74,73,0,0,0,6,0.6,NA,NA,NA,NA,NA,NA
1,69,3,C,B1,B2,L1,0,BBL,3,2,44,43,43,43,42,41,41,40,40,39,39,38,37,0,3,DC,6,0.75,NA,NA,NA,NA,NA,NA
1,70,1,O,0,B2,L1,L2,BLL,3,2,72,71,70,70,69,68,68,68,67,67,66,66,66,0,1,0,6,1,1.676553227,0.0269,0.1986,7.378,0.614806917,0.04819086
1,71,1,C,B1,B2,0,0,BB,2,1,65,64,63,62,61,60,58,57,56,55,54,53,52,0,2,M,6,2.5,2.498118808,0.0478,1.5835,33.147,1.462375129,0.134147516
1,72,3,O,B1,0,L1,L2,BLL,3,2,71,71,71,70,69,68,68,67,66,65,64,63,62,0,1,DC,6,1.4,3.619260361,0.03,0.2961,9.8755,1.122676895,0.035065522
1,73,1,C,0,0,0,0,O,0,0,82,80,77,75,73,71,69,67,65,64,62,61,60,0,2,0,6,0.8,NA,NA,NA,NA,NA,NA
1,74,3,O,B1,0,L1,L2,BLL,3,2,64,64,64,64,63,63,62,62,62,62,62,62,62,1,6,0,6,0.75,NA,NA,NA,NA,NA,NA
